'36117', 52890
'35242', 51902
'36695', 49824
'35215', 49475
'35758', 45052
'36116', 44944
'35405', 43724
'30165', 41034
'36830', 38004
'35401', 37272
'36330', 36674
'36301', 36609
'36608', 36236
'35216', 36047
'35226', 34755
'35244', 33562
'35630', 33478
'35601', 33275
'36526', 33151
'36532', 32285
'36303', 31422
'35603', 31045
'35810', 29631
'35209', 29599
'36067', 28015
'35811', 28014
'36535', 27899
'36605', 27317
'35020', 27134
'35803', 26645
'35007', 26630
'35173', 26597
'35160', 26350
'35611', 25464
'35640', 25434
'35023', 25049
'36609', 24986
'36582', 24940
'36801', 24525
'35124', 24374
'36109', 24132
'35211', 24101
'36867', 23993
'35613', 23820
'36832', 23636
'35801', 23598
'36701', 22746
'35802', 21562
'35126', 21507
'35633', 21465
'35805', 21464
'35950', 21342
'36869', 21235
'35404', 21218
'35806', 21216
'35205', 21124
'35749', 21063
'31905', 20993
'36207', 20867
'35010', 20826
'36265', 20741
'36870', 20667
'35055', 20520
'36507', 20384
'36092', 20297
'36575', 20128
'35901', 20016
'36066', 19862
'36108', 19772
'35022', 19416
'36360', 19280
'36606', 18960
'36693', 18846
'36502', 18608
'35235', 18585
'36203', 18104
'35674', 18041
'36201', 18036
'35214', 18008
'35243', 17585
'35150', 17526
'35976', 17138
'35903', 17106
'36618', 17030
'36804', 16944
'35763', 16908
'35080', 16882
'35661', 16861
'35111', 16781
'35406', 16727
'35040', 16646
'35957', 16553
'35967', 16485
'35206', 16476
'36027', 16159
'36081', 16154
'35016', 15997
'35473', 15993
'36619', 15960
'36305', 15940
'35071', 15815
'36426', 15514
'36541', 15464
'35475', 15457
'36054', 15372
'36854', 15155
'35121', 15135
'35757', 15036
'36106', 14986
'36571', 14974
'35045', 14795
'35115', 14532
'35208', 14529
'35904', 14494
'35650', 14442
'36567', 14409
'35180', 14380
'35120', 14311
'35094', 14281
'35210', 14269
'35645', 13992
'36617', 13859
'36037', 13842
'36613', 13713
'36527', 13660
'35816', 13547
'36542', 13494
'36078', 13459
'35213', 13412
'36703', 13392
'35565', 13166
'35217', 13152
'35057', 13090
'36110', 12807
'36272', 12702
'35077', 12676
'35504', 12665
'36603', 12638
'35756', 12582
'35212', 12579
'35146', 12560
'35773', 12497
'35750', 12206
'36111', 12203
'36877', 12182
'35951', 12143
'35761', 12087
'35653', 11908
'36863', 11870
'36022', 11615
'35570', 11606
'36206', 11504
'36274', 11497
'35954', 11447
'35064', 11392
'35768', 11334
'35453', 11108
'36420', 11056
'36093', 10986
'36460', 10903
'36610', 10890
'35125', 10855
'35223', 10723
'35043', 10584
'36105', 10563
'35004', 10418
'35960', 10388
'36544', 10358
'35127', 10284
'36545', 10235
'35128', 10187
'35228', 10135
'35906', 9959
'35501', 9919
'35204', 9911
'36467', 9831
'35769', 9786
'36079', 9757
'35555', 9695
'35962', 9691
'36604', 9621
'35179', 9601
'36587', 9548
'35207', 9506
'35058', 9441
'35634', 9317
'36064', 9194
'35956', 9144
'36421', 9113
'35660', 9067
'38852', 9012
'36322', 8889
'36551', 8861
'35051', 8753
'35620', 8749
'35222', 8698
'35614', 8673
'36345', 8653
'35079', 8647
'35085', 8646
'35503', 8574
'35907', 8422
'36264', 8418
'35652', 8338
'36732', 8328
'35031', 8306
'35068', 8201
'36083', 8178
